materials,CD,AS,AL,NS,NB,DD
sample177,2.3479,115,81.0,1,0,3.05
sample231,2.6678,243,228.0,2,0,10.4
sample58,2.2027,121,41.0,8,4,1.0
sample280,2.7754,267,179.0,26,15,7.95
sample250,2.6706,243,216.0,2,0,9.8
sample244,2.6694,243,220.0,2,0,10.0
sample269,2.7262,255,201.0,14,3,9.05
sample180,2.3354,112,81.0,1,0,3.05
sample254,2.6714,243,212.0,2,0,9.6
sample75,2.437,133,41.0,20,13,1.0
sample308,2.8719,298,125.0,57,43,5.25
sample163,2.2866,98,67.0,1,0,2.05
sample295,2.8336,284,149.0,43,30,6.45
sample314,2.8897,305,109.0,64,49,4.45
sample278,2.768,265,185.0,24,13,8.25
sample216,2.6671,243,232.0,2,0,10.6
sample119,2.653,261,161.0,20,18,0.61
sample349,2.4821,169,41.0,12,6,1.0
sample271,2.7343,257,201.0,16,5,9.05
sample298,2.8417,287,140.0,46,33,6.0
sample348,2.4231,152,41.0,9,4,1.0
sample450,2.3168,115,81.0,1,0,3.05
sample255,2.6718,243,210.0,2,0,9.5
sample326,2.9198,318,84.0,77,61,3.2
sample111,2.48,249,81.0,26,12,3.05
sample29,2.4666,149,41.0,12,7,1.0
sample169,2.2732,98,73.0,1,0,2.05
sample43,2.39,174,41.0,19,14,1.0
sample227,2.6686,243,224.0,2,0,10.2
sample122,2.0815,78,41.0,1,0,1.0
sample412,2.57,247,41.0,38,28,1.0
sample124,2.0771,76,41.0,1,0,1.0
sample253,2.671,243,214.0,2,0,9.7
sample419,2.9275,331,41.0,94,75,1.0
sample317,2.8971,308,102.0,67,52,4.1
sample138,2.0495,62,41.0,1,0,1.0
sample212,2.6653,242,223.0,1,0,10.15
sample266,2.7143,252,215.0,11,0,9.75
sample315,2.8922,306,106.0,65,50,4.3
sample316,2.8944,307,104.0,66,51,4.2
sample90,2.3654,154,89.0,5,0,2.178571429
sample211,2.6648,242,225.0,1,0,10.25
sample241,2.6698,243,218.0,2,0,9.9
sample97,2.4218,193,81.0,12,2,3.05
sample272,2.7386,258,201.0,17,6,9.05
sample181,2.3308,111,81.0,1,0,3.05
sample152,2.0587,66,41.0,1,0,1.0
sample15,2.5146,167,41.0,14,9,1.0
sample397,2.3032,131,41.0,6,5,1.0
sample66,2.4205,215,41.0,42,30,1.0
sample139,2.0853,79,41.0,1,0,1.0
sample185,2.3138,107,81.0,1,0,3.05
sample117,2.4982,273,81.0,32,18,3.05
sample103,2.4537,217,81.0,18,6,3.05
sample375,2.2449,52,44.0,1,0,1.2
sample264,2.6986,249,213.0,8,0,9.65
sample364,2.6643,216,41.0,25,16,1.0
